marketName,action,usdcAmount,tokenAmount,tokenName,timestamp,hash
"Bitcoin Up or Down - March 18, 10:30PM-10:35PM ET",Buy,4.999999,35.584863999999996,Up,1773887571,0x278289d1a4e915ef4eafd22a4a85203caf2bb5ba0b090887d672790b18ecb4a0
"Bitcoin Up or Down - March 18, 10:30PM-10:35PM ET",Buy,4.999999,33.197872,Up,1773887559,0x12c5570f6b9945eefc5c463b8a2af1802373a858dcd0ad8ff814fcc9d19bb50e
"Bitcoin Up or Down - March 18, 10:30PM-10:35PM ET",Buy,4.999999,16.649862,Up,1773887529,0x92280a34111f7fe20f2efc424cf37e60f1e996b81e936e993dd27fbee9cec9a1
"Bitcoin Up or Down - March 18, 10:30PM-10:35PM ET",Buy,15,29.53125,Up,1773887405,0x058c2787c82e8d7f117d27c87a8d62a567986e0a389acd64b0d2c523548f2892
"Bitcoin Up or Down - March 18, 10:25PM-10:30PM ET",Buy,9.999999,22.906551999999998,Down,1773887197,0xa4ce4ce12dfe77d57ef50309517c959de251a4eae2e50ece0f6649f8221d5539
"Bitcoin Up or Down - March 18, 10:20PM-10:25PM ET",Buy,4.999999,16.482924999999998,Down,1773887023,0xe5333a2ad8681efff673f22db79bb4605eb1894f5143b515890cdc9b8a316fb2
"Bitcoin Up or Down - March 18, 10:00PM-10:05PM ET",Buy,9.999999,74.06519100000001,Up,1773885797,0x38bb3d3adef25342eb0834e2907d868497f522d1e0f989aa5f77a829a5a88a15
"Bitcoin Up or Down - March 18, 9:50PM-9:55PM ET",Sell,84.32299,199.09,Up,1773885231,0x17af8e72366a2ca796f7b3bd2649d0f97591f3236dda1c17eace12a29ae58991
"Bitcoin Up or Down - March 18, 9:50PM-9:55PM ET",Buy,11.9919,99.72155,Up,1773885121,0x18079595f19f274814590fac46c4bb621ac754687be85ca7e78121116726a477
"Bitcoin Up or Down - March 18, 9:50PM-9:55PM ET",Buy,19.7526,99.37187,Up,1773885089,0xd14c7da8b0e0ad9a1aeef39820007fe9cf83804457aa72bdb8558817183a45fc
